dummy,笨蛋
Sussex spaniel,苏塞克斯猎犬
Irish water spaniel,爱尔兰水猎犬
kuvasz,哥威斯犬；库瓦兹犬；哥伟兹犬
schipperke,舒柏奇犬；史派克犬；史奇派克犬
groenendael,格罗安达犬；比利时牧羊犬之格罗安达；高斯·达图拉·塞达犬
malinois,比利时马利诺斯犬；马里努阿犬；玛利诺犬
briard,伯瑞犬；布雷猎犬；伯瑞犬阿富汗
kelpie,（澳大利亚）卡尔比犬
komondor,可蒙犬；可蒙多犬；匈牙利牧羊犬
Old English sheepdog,古英国牧羊犬
Shetland sheepdog,设得兰牧羊犬
collie,牧羊犬；柯利犬；柯利牧羊犬
Border collie,边境牧羊犬
Bouvier des Flandres,法兰德斯畜牧犬；弗兰德牧羊犬；法兰德斯牧羊犬
Rottweiler,罗威纳犬
German shepherd,德国牧羊犬
Doberman,杜宾犬
miniature pinscher,迷你品；迷你杜宾犬；迷你品犬
Greater Swiss Mountain dog,大瑞士山地犬；瑞士大山地犬；大瑞士山犬
Bernese mountain dog,伯恩山犬；伯尔尼山岳犬；伯恩作业犬
Appenzeller,阿彭则牧牛犬
EntleBucher,恩特雷布赫山地犬
boxer,拳狮犬
bull mastiff,斗牛獒犬
Tibetan mastiff,藏獒；西藏獒犬
French bulldog,法国斗牛犬
Great Dane,大丹犬
Saint Bernard,圣伯纳犬；圣班纳犬
Eskimo dog,北极狼犬；爱斯基摩犬；北极犬；爱斯基摩哈士奇
malamute,爱斯基摩犬；雪橇犬
Siberian husky,西伯利亚雪橇犬
dalmatian,大麦町犬；斑点狗；斑点犬
affenpinscher,艾芬笃宾犬；狮毛犬
basenji,猴面犬；巴辛吉犬；贝生吉犬；巴仙吉
pug,帕格犬
Leonberg,莱昂伯格犬
Newfoundland,纽芬兰犬
Great Pyrenees,大白熊犬
Samoyed,萨摩耶犬；萨摩犬
Pomeranian,博美犬
chow,松狮犬
keeshond,荷兰毛狮犬
Brabancon griffon,勃拉帮特格里芬犬
Pembroke,(一种尖耳,直腿,短尾的)威尔士小狗
Cardigan,卡狄根威尔士柯基犬
toy poodle,玩具贵宾犬
miniature poodle,迷你型贵宾犬
standard poodle,标准贵宾犬
Mexican hairless,墨西哥无毛犬
timber wolf,森林狼
white wolf,白狼
red wolf,红狼
coyote,郊狼
dingo,野狗
dhole,豺狗
African hunting dog,非洲猎狗
hyena,土狼
red fox,红狐狸
kit fox,草原狐与墨西哥狐；瞬狐；沙狐
Arctic fox,北极狐
grey fox,灰狐
tabby,斑猫
tiger cat,老虎猫
Persian cat,波斯猫
Siamese cat,暹罗猫
Egyptian cat,埃及猫
cougar,美洲狮
lynx,猞猁
leopard,豹子
snow leopard,雪豹
jaguar,美洲虎
lion,狮
tiger,虎
cheetah,猎豹
brown bear,棕熊
American black bear,美国黑熊
ice bear,冰熊
sloth bear,懒熊
mongoose,猫鼬
meerkat,猫鼬
tiger beetle,虎甲虫
ladybug,瓢虫
ground beetle,地甲虫
long-horned beetle,长角甲虫
leaf beetle,叶甲虫
dung beetle,粪甲虫
rhinoceros beetle,犀甲虫
weevil,象甲
fly,苍蝇
bee,蜜蜂
ant,蚂蚁
grasshopper,蝗虫
cricket,板球
walking stick,手杖
cockroach,蟑螂
mantis,螳螂
cicada,蝉
leafhopper,叶蝉
lacewing,草蛉
dragonfly,蜻蜓
damselfly,豆娘
admiral,海军上将
ringlet,长卷发
monarch,君主
cabbage butterfly,卷心菜蝴蝶
sulphur butterfly,硫磺蝴蝶
lycaenid,灰蝶
starfish,海星
sea urchin,海胆
sea cucumber,海参
wood rabbit,木兔
hare,野兔
Angora,安哥拉兔
hamster,仓鼠
porcupine,豪猪
fox squirrel,狐狸松鼠
marmot,土拨鼠
beaver,海狸
guinea pig,豚鼠
sorrel,栗色的马
zebra,斑马
hog,猪
wild boar,野猪
warthog,疣猪
hippopotamus,河马
ox,公牛
water buffalo,水牛
bison,野牛
ram,猛撞
bighorn,大喇叭
ibex,野山羊
hartebeest,羚羊
impala,黑斑羚
gazelle,羚羊
Arabian camel,阿拉伯骆驼
llama,美洲驼
weasel,鼬
mink,水貂
polecat,艾鼬
black-footed ferret,黑脚雪貂
otter,水獭
skunk,臭鼬
badger,獾
armadillo,犰狳
three-toed sloth,三趾树懒
orangutan,猩猩
gorilla,大猩猩
chimpanzee,黑猩猩
gibbon,长臂猿
siamang,西亚芒
guenon,圭农
patas,帕塔斯
baboon,狒狒
macaque,猕猴
langur,叶猴
colobus,结肠
proboscis monkey,长鼻猴
marmoset,绒猴
capuchin,卷尾猴
howler monkey,吼猴
titi,狨(绢毛猴) (Callithrix jacchus)
spider monkey,蜘蛛猴
squirrel monkey,松鼠猴
Madagascar cat,马达加斯加猫
indri,大狐猴；光面狐猴；因德里狐猴
Indian elephant,亚洲象；印度象
African elephant,非洲象
lesser panda,小熊猫
giant panda,大熊猫
barracouta,巴拉库塔
eel,鳗鱼
coho,银大马哈鱼
rock beauty,三色刺蝶鱼；美国石美人
anemone fish,银莲花鱼
sturgeon,鲟鱼
gar,雀鳝；同“needlefish”
lionfish,狮子鱼
puffer,河豚
abacus,算盘
abaya,阿拉伯罩袍
academic gown,学术长袍
accordion,手风琴
acoustic guitar,原声吉他
aircraft carrier,航空母舰
airliner,客机
airship,飞艇
altar,祭坛
ambulance,救护车
amphibian,两栖动物
analog clock,模拟时钟
apiary,养蜂场
apron,围裙
ashcan,阿什坎
assault rifle,突击步枪
backpack,背包
bakery,面包店
balance beam,平衡梁
balloon,气球
ballpoint,圆珠笔
Band Aid,创可贴
banjo,班卓琴
bannister,(楼梯)栏干
barbell,杠铃
barber chair,理发椅
barbershop,理发店
barn,谷仓
barometer,气压计
barrel,桶
barrow,手推车
baseball,棒球运动
basketball,篮球运动
bassinet,摇篮
bassoon,巴松管
bathing cap,浴帽
bath towel,浴巾
bathtub,浴盆
beach wagon,沙滩车
beacon,信标
beaker,烧杯
bearskin,熊皮
beer bottle,啤酒瓶
beer glass,啤酒杯
bell cote,贝尔科特
bib,围兜
bicycle-built-for-two,双人自行车
bikini,比基尼
binder,粘合剂
binoculars,双筒望远镜
birdhouse,鸟舍
boathouse,船库
bobsled,雪橇
bolo tie,波罗领带(用饰物或搭扣系的线编领带)
bonnet,阀盖
bookcase,书架
bookshop,书店
bottlecap,瓶盖
bow,弓
bow tie,领结
brass,黄铜
brassiere,胸罩
breakwater,防波堤
breastplate,胸甲
broom,扫把
bucket,水桶
buckle,搭扣
bulletproof vest,防弹背心
bullet train,子弹头列车
butcher shop,肉店
cab,驾驶室
caldron,大锅
candle,蜡烛
cannon,大炮
canoe,皮划艇
can opener,开罐器
cardigan,开衫
car mirror,汽车后视镜
carousel,旋转木马
carpenter's kit,木工工具包
carton,纸箱
car wheel,汽车车轮
cash machine,提款机
cassette,盒式录音带
cassette player,盒式磁带放音机
castle,城堡
catamaran,双体船
CD player,CD播放器
cello,大提琴
cellular telephone,蜂窝电话
chain,链条
chainlink fence,铁丝网围栏
chain mail,连锁邮件
chain saw,链锯
chest,胸部
chiffonier,雪纺机
chime,钟声
china cabinet,中国内阁
Christmas stocking,圣诞长袜
church,教堂
cinema,电影院
cleaver,砍肉刀
cliff dwelling,悬崖住宅
cloak,斗篷
clog,阻塞
cocktail shaker,鸡尾酒摇壶
coffee mug,咖啡杯
coffeepot,咖啡壶
coil,线圈
combination lock,组合锁
computer keyboard,计算机键盘
confectionery,糕点糖果
container ship,集装箱船
convertible,敞篷车
corkscrew,开瓶器螺钉
cornet,短号
cowboy boot,牛仔靴
cowboy hat,牛仔帽
cradle,摇篮
crane,起重机
crash helmet,防撞头盔
crate,大木箱
crib,婴儿床
Crock Pot,瓦罐
croquet ball,槌球
crutch,拐杖
cuirass,胸甲
dam,水坝
desk,书桌
desktop computer,台式计算机
dial telephone,拨号电话
diaper,尿布
digital clock,数字时钟
digital watch,数字手表
dining table,餐桌
dishrag,抹布
dishwasher,洗碗机
disk brake,盘式制动器
dock,船坞
dogsled,狗拉雪橇
dome,穹顶
doormat,门垫
drilling platform,钻井平台
drum,鼓
drumstick,鼓槌
dumbbell,哑铃
Dutch oven,荷兰烤箱
electric fan,电风扇
electric guitar,电吉他
electric locomotive,电力机车
entertainment center,娱乐中心
envelope,信封
espresso maker,浓缩咖啡机
face powder,化妆粉
feather boa,羽毛蟒
file,文件
fireboat,消防艇
fire engine,消防车
fire screen,防火屏
flagpole,旗杆
flute,长笛
folding chair,折叠椅
football helmet,足球头盔
forklift,叉车
fountain,人工喷泉
fountain pen,自来水笔
four-poster,四柱床
freight car,货车
French horn,法国号
frying pan,煎锅
fur coat,毛皮大衣
garbage truck,垃圾车
gasmask,防毒面具
gas pump,气体泵
goblet,高脚杯
go-kart,卡丁车
golf ball,高尔夫球
golfcart,高尔夫球场
gondola,贡多拉
gong,锣
gown,长袍
grand piano,大钢琴
greenhouse,温室
grille,格栅
grocery store,杂货店
guillotine,断头台
hair slide,头发幻灯片
hair spray,发胶
half track,半轨道
hammer,锤子
hamper,妨碍
hand blower,手动鼓风机
hand-held computer,手持式计算机
handkerchief,手帕
hard disc,硬盘
harmonica,口琴
harp,竖琴
harvester,收割机
hatchet,斧头
holster,枪套
home theater,家庭影院
honeycomb,蜂窝状
hook,钩
hoopskirt,篮球裙
horizontal bar,单杠
horse cart,马车
hourglass,沙漏
iPod,iPod
iron,铁
jack-o'-lantern,杰克灯
jean,斜纹棉布
jeep,吉普车
jersey,运动衫
jigsaw puzzle,拼图
jinrikisha,人力车
joystick,操纵杆
kimono,和服
knee pad,护膝
knot,结
lab coat,实验室外套
ladle,长柄勺
lampshade,灯罩
laptop,笔记本电脑
lawn mower,割草机
lens cap,透镜盖
letter opener,开信器
library,图书馆
lifeboat,救生艇
lighter,打火机
limousine,豪华轿车
liner,邮轮
lipstick,口红
Loafer,懒汉
lotion,洗剂
loudspeaker,扬声器
loupe,洛普
lumbermill,伐木厂
magnetic compass,磁罗盘
mailbag,邮袋
mailbox,邮箱
maillot,紧身衣；女子游泳衣；紧身体操衣
maillot,紧身衣；女子游泳衣；紧身体操衣
manhole cover,井盖
maraca,马拉卡
marimba,木琴
mask,面具
matchstick,火柴棍
maypole,五月柱
maze,迷宫
measuring cup,量杯
medicine chest,药箱
megalith,巨石
microphone,麦克风
microwave,微波炉
military uniform,军装
milk can,牛奶罐
minibus,小型巴士
miniskirt,超短裙
minivan,小型货车
missile,导弹
mitten,连指手套
mixing bowl,混合碗
mobile home,活动住房
Model T,老式轿车；型车；型轿车
modem,调制解调器
monastery,隐修院
monitor,监视器；显示器
moped,轻便摩托车
mortar,灰浆
mortarboard,砂浆板
mosque,清真寺
mosquito net,蚊帐
motor scooter,摩托车
mountain bike,山地自行车
mountain tent,山地帐篷
mouse,老鼠
mousetrap,捕鼠器
moving van,移动货车
muzzle,枪口
nail,指甲
neck brace,颈托
necklace,项链
nipple,乳头
notebook,笔记本
obelisk,方尖碑
oboe,双簧管
ocarina,陶笛
odometer,里程表
oil filter,机油滤清器
organ,器官
oscilloscope,示波器
overskirt,套裙
oxcart,牛车
oxygen mask,氧气面罩
packet,小包裹
paddle,桨
paddlewheel,轮桨
padlock,挂锁
paintbrush,画笔
pajama,睡衣
palace,王宫
panpipe,潘神笙；(芦杆制)排箫
paper towel,纸巾
parachute,降落伞
parallel bars,双杠
park bench,公园长椅
parking meter,停车计时器
passenger car,乘用车
patio,露台
pay-phone,付费电话
pedestal,底座
pencil box,铅笔盒
pencil sharpener,卷笔刀
perfume,香水
Petri dish,皮氏培养皿
photocopier,复印机
pick,选择
pickelhaube,头盔
picket fence,尖桩围栏
pickup,皮卡
pier,码头
piggy bank,存钱罐
pill bottle,药丸瓶
pillow,枕头
ping-pong ball,乒乓球
pinwheel,风车
pirate,海盗
pitcher,投掷者
plane,飞机
planetarium,天文馆
plastic bag,塑料袋
plate rack,板架
plow,犁
plunger,柱塞
Polaroid camera,宝丽来相机
pole,杆子
police van,警车
poncho,斗篷
pool table,池表
pop bottle,汽水瓶
pot,锅
potter's wheel,波特的轮子
power drill,电钻
prayer rug,祈祷毯
printer,打印机
prison,监狱
projectile,投射物
projector,投影仪
puck,冰球
punching bag,打孔袋
purse,钱包
quill,羽毛笔
quilt,被子
racer,赛车手
racket,球拍
radiator,散热器
radio,无线电广播
radio telescope,射电望远镜
rain barrel,雨水桶
recreational vehicle,休闲车
reel,卷轴
reflex camera,反射式摄像机
refrigerator,冰箱
remote control,遥控器
restaurant,餐馆
revolver,左轮手枪
rifle,步枪
rocking chair,摇椅
rotisserie,烤肉店
rubber eraser,橡胶橡皮擦
rugby ball,橄榄球
rule,规则
running shoe,跑鞋
safe,保险柜；保险箱
safety pin,安全别针
saltshaker,盐罐
sandal,凉鞋
sarong,莎笼(马来西亚人和印度尼西亚人裹在腰或胸以下的长条布，男女均穿)
sax,萨克斯
scabbard,鞘
scale,规模
school bus,校车
schooner,纵帆船
scoreboard,记分牌
screen,屏幕
screw,螺丝钉
screwdriver,螺丝刀
seat belt,安全带
sewing machine,缝纫机
shield,盾
shoe shop,鞋店
shoji,拉门
shopping basket,购物篮
shopping cart,购物车
shovel,铲子
shower cap,淋浴帽
shower curtain,淋浴帘
ski,滑雪板
ski mask,滑雪面罩
sleeping bag,睡袋
slide rule,计算尺
sliding door,滑动门
slot,狭槽
snorkel,通气管
snowmobile,摩托雪橇
snowplow,除雪器
soap dispenser,肥皂分配器
soccer ball,足球
sock,短袜
solar dish,太阳能盘
sombrero,草帽
soup bowl,汤碗
space bar,空格键
space heater,空间加热器
space shuttle,航天飞机
spatula,铲
speedboat,快艇
spider web,蜘蛛网
spindle,主轴
sports car,跑车
spotlight,聚光灯
stage,stage
steam locomotive,蒸汽机车
steel arch bridge,钢拱桥
steel drum,钢桶
stethoscope,听诊器
stole,女用披肩；（司祭佩戴的）圣带
stone wall,石墙
stopwatch,秒表
stove,火炉
strainer,过滤器
streetcar,有轨电车
stretcher,担架
studio couch,工作室沙发
stupa,佛塔
submarine,潜艇
suit,西装
sundial,日晷
sunglass,太阳镜
sunglasses,多副太阳镜
sunscreen,防晒霜
suspension bridge,悬索桥
swab,拭子
sweatshirt,运动衫
swimming trunks,游泳裤
swing,摆动
switch,转换
syringe,注射器
table lamp,台灯
tank,坦克
tape player,磁带播放机
teapot,茶壶
teddy,泰迪
television,电视机
tennis ball,网球
thatch,茅草
theater curtain,剧院幕布
thimble,顶针
thresher,脱粒机
throne,宝座
tile roof,瓦片屋顶
toaster,烤面包机
tobacco shop,烟草店
toilet seat,马桶座圈
torch,手电筒
totem pole,图腾柱
tow truck,拖车
toyshop,玩具店
tractor,拖拉机
trailer truck,拖车
tray,盘
trench coat,风衣
tricycle,三轮车
trimaran,三体船
tripod,三脚架
triumphal arch,凯旋门
trolleybus,无轨电车
trombone,长号
tub,盆
turnstile,旋转栅门
typewriter keyboard,打字机键盘
umbrella,雨伞
unicycle,独轮车
upright,直立的
vacuum,真空
vase,花瓶
vault,金库
velvet,丝绒
vending machine,自动售货机
vestment,法衣
viaduct,高架桥
violin,小提琴
volleyball,排球
waffle iron,华夫铁
wall clock,挂钟
wallet,钱包
wardrobe,衣柜
warplane,战机
washbasin,洗脸盆
washer,垫圈
water bottle,水瓶
water jug,水壶
water tower,水塔
whiskey jug,威士忌罐
whistle,吹口哨
wig,假发
window screen,纱窗
window shade,窗帘
Windsor tie,温莎领带
wine bottle,酒瓶
wing,翼
wok,炒锅
wooden spoon,木勺
wool,羊毛
worm fence,蠕虫围栏
wreck,沉船
yawl,双桅轻便帆船；船载小划艇
yurt,蒙古包
web site,网站
comic book,漫画书
crossword puzzle,纵横字谜
street sign,街道标志
traffic light,交通信号灯
book jacket,书夹
menu,菜单
plate,盘子
guacamole,鳄梨酱
consomme,清汤
hot pot,火锅
trifle,琐事
ice cream,冰淇淋
ice lolly,冰棍
French loaf,法式面包
bagel,百吉饼
pretzel,椒盐脆饼
cheeseburger,芝士汉堡
hotdog,热狗
mashed potato,土豆泥
head cabbage,结球甘蓝
broccoli,西兰花
cauliflower,花椰菜
zucchini,西葫芦
spaghetti squash,意大利面南瓜
acorn squash,橡子南瓜
butternut squash,胡桃南瓜
cucumber,黄瓜
artichoke,朝鲜蓟
bell pepper,甜椒
cardoon,卡多恩
mushroom,蘑菇
Granny Smith,史密斯奶奶
strawberry,草莓
orange,橙色
lemon,柠檬
fig,无花果
pineapple,菠萝
banana,香蕉
jackfruit,菠萝蜜
custard apple,奶油冻苹果
pomegranate,石榴
hay,干草
carbonara,卡博纳拉
chocolate sauce,巧克力酱
dough,面团
meat loaf,肉饼
pizza,披萨
potpie,馅饼
burrito,墨西哥煎饼
red wine,红葡萄酒
espresso,浓缩咖啡
cup,杯子
eggnog,蛋奶酒
alp,阿尔卑斯山
bubble,泡泡
cliff,悬崖
coral reef,珊瑚礁
geyser,间歇泉
lakeside,湖边
promontory,岬角
sandbar,沙洲
seashore,海岸
valley,山谷
volcano,火山
ballplayer,棒球运动员
groom,新郎
scuba diver,水肺潜水员
rapeseed,油菜籽
daisy,雏菊
yellow lady's slipper,黄色女士拖鞋
corn,玉米
acorn,橡子
hip,野蔷薇果
buckeye,七叶树
coral fungus,珊瑚真菌
agaric,伞菌
gyromitra,鹿花菌属
stinkhorn,臭角
earthstar,量显地星；地星菌；土之星
hen-of-the-woods,多叶奇果菌
bolete,牛肝菌
ear,耳朵
toilet tissue,卫生纸
